Timestamp,Sensor Data
0.0,177
0.009,897
0.02,127
0.03,980
0.041,79
0.051,1017
0.061,42
0.071,1017
0.082,18
0.091,1017
0.102,5
0.113,1017
0.123,5
0.133,1017
0.143,13
0.153,1006
0.164,31
0.174,970
0.184,51
0.194,913
0.205,76
0.215,839
0.225,114
0.236,762
0.246,170
0.256,674
0.266,252
0.276,592
0.287,351
0.297,508
0.307,451
0.318,438
0.328,556
0.339,365
0.348,672
0.359,307
0.369,788
0.379,241
0.39,886
0.4,184
0.41,973
0.42,135
0.431,1017
0.441,84
0.451,1017
0.461,47
0.472,1017
0.483,17
0.492,1017
0.502,11
0.513,1017
0.524,14
0.534,1012
0.544,31
0.554,987
0.565,57
0.575,945
0.585,94
0.595,888
0.606,130
0.616,815
0.626,189
0.636,731
0.647,267
0.657,641
0.667,351
0.677,556
0.688,437
0.698,476
0.708,542
0.719,392
0.729,640
0.739,316
0.749,742
0.76,247
0.77,836
0.78,186
0.791,937
0.801,135
0.811,1017
0.821,93
0.831,1017
0.842,70
0.852,1017
0.863,48
0.873,1017
0.883,45
0.893,1017
0.904,45
0.914,1017
0.924,60
0.933,1006
0.945,82
0.955,969
0.965,113
0.976,915
0.986,149
0.996,839
1.006,193
1.016,745
1.026,244
1.036,653
1.047,324
1.057,563
1.068,419
1.078,484
1.088,519
1.098,400
1.108,621
1.119,317
1.129,721
1.139,252
1.15,813
1.16,185
1.17,902
1.18,130
1.191,981
1.201,84
1.211,1017
1.222,42
1.232,1017
1.243,16
1.253,1017
1.263,4
1.273,1017
1.284,8
1.293,1017
1.304,20
1.314,1004
1.324,50
1.335,972
1.345,83
1.355,930
1.365,134
1.375,869
1.386,192
1.396,791
1.406,260
1.417,707
1.427,348
1.437,632
1.448,442
1.458,555
1.468,541
1.478,475
1.489,628
1.499,388
1.51,718
1.519,305
1.529,806
1.54,221
1.55,884
1.56,158
1.571,968
1.581,110
1.591,1017
1.602,68
1.612,1017
1.623,41
1.632,1017
1.643,23
1.653,1017
1.664,23
1.673,1017
1.683,27
1.694,1010
1.704,50
1.714,984
1.725,75
1.735,939
1.745,108
1.756,876
1.766,150
1.776,798
1.786,217
1.797,711
1.807,286
1.817,619
1.828,371
1.838,534
1.848,460
1.859,448
1.869,564
1.879,373
1.889,667
1.899,298
1.909,762
1.92,229
1.93,851
1.94,166
1.95,933
1.961,117
1.971,1004
1.981,72
1.991,1017
2.002,39
2.012,1017
2.023,20
2.033,1017
2.043,19
2.054,1017
2.064,27
2.073,1009
2.084,45
2.094,986
2.105,58
2.115,939
2.125,106
2.136,879
2.146,139
2.156,819
2.167,203
2.177,720
2.187,268
2.197,624
2.207,351
2.218,547
2.228,450
2.238,469
2.249,545
2.26,390
2.269,645
2.279,316
2.29,742
2.299,239
2.31,867
2.32,168
2.331,924
2.341,133
2.351,972
2.361,105
2.372,1017
2.382,64
2.393,1017
2.403,48
2.413,1017
2.423,32
2.433,1017
2.444,33
2.454,1013
2.464,50
2.474,989
2.485,73
2.495,948
2.505,106
2.516,888
2.526,145
2.536,812
2.546,202
2.557,734
2.566,265
2.577,655
2.587,346
2.598,568
2.608,441
2.618,487
2.629,532
2.639,407
2.649,631
2.659,331
2.67,733
2.68,260
2.69,817
2.7,193
2.71,900
2.721,141
2.731,968
2.741,96
2.751,1017
2.762,56
2.772,1017
2.783,29
2.793,1017
2.803,23
2.813,1017
2.823,19
2.834,1016
2.844,33
2.855,1001
2.865,54
2.875,964
2.885,83
2.895,913
2.906,123
2.916,853
2.927,181
2.937,767
2.947,251
2.957,678
2.967,328
2.977,591
2.988,421
2.998,511
