Timestamp,Sensor Data
0.0,990
0.011,53
0.021,939
0.031,109
0.041,861
0.052,154
0.062,781
0.072,256
0.083,677
0.092,361
0.102,544
0.113,488
0.123,466
0.133,605
0.144,358
0.154,729
0.164,260
0.175,879
0.184,156
0.196,1015
0.205,48
0.216,1018
0.226,4
0.236,1017
0.247,4
0.256,1017
0.267,4
0.277,1017
0.288,4
0.298,1017
0.308,4
0.318,1017
0.329,4
0.338,1017
0.349,4
0.359,1017
0.37,8
0.379,1016
0.39,25
0.4,986
0.41,63
0.42,935
0.432,121
0.442,850
0.452,176
0.462,753
0.473,263
0.483,616
0.493,397
0.503,526
0.513,506
0.524,402
0.534,636
0.544,296
0.554,778
0.565,183
0.575,917
0.585,117
0.596,1017
0.606,22
0.616,1017
0.627,4
0.637,1017
0.647,4
0.658,1017
0.668,4
0.678,1017
0.688,4
0.697,1017
0.708,4
0.719,1017
0.729,4
0.739,1017
0.75,5
0.76,1017
0.77,19
0.78,1007
0.791,42
0.801,972
0.811,92
0.821,898
0.832,142
0.842,817
0.852,224
0.862,703
0.873,312
0.883,620
0.894,426
0.904,499
0.914,542
0.924,396
0.934,666
0.945,303
0.955,818
0.965,208
0.975,951
0.986,110
0.997,1017
1.006,33
1.016,1017
1.027,4
1.036,1017
1.047,4
1.057,1018
1.068,4
1.078,1017
1.088,4
1.098,1017
1.108,4
1.118,1017
1.129,4
1.139,1017
1.149,8
1.159,1017
1.17,25
1.18,996
1.191,51
1.201,957
1.211,98
1.221,888
1.231,165
1.242,791
1.252,215
1.263,670
1.273,347
1.283,573
1.293,467
1.303,458
1.313,594
1.324,349
1.335,723
1.344,256
1.355,875
1.365,151
1.375,1005
1.386,64
1.396,1018
1.406,4
1.416,1018
1.427,4
1.437,1017
1.448,4
1.457,1017
1.467,4
1.478,1017
1.489,4
1.498,1017
1.509,4
1.519,1017
1.53,4
1.54,1017
1.55,6
1.56,1017
1.57,30
1.581,993
1.591,59
1.601,950
1.611,105
1.622,872
1.632,186
1.642,775
1.653,274
1.663,675
1.673,365
1.684,551
1.694,487
1.704,438
1.714,605
1.725,324
1.734,767
1.745,221
1.755,919
1.766,155
1.775,1017
1.786,57
1.796,1017
1.807,4
1.817,1017
1.827,4
1.837,1017
1.848,4
1.857,1018
1.868,4
1.878,1017
1.889,4
1.899,1017
1.909,4
1.918,1017
1.93,4
1.939,1017
1.95,8
1.96,1015
1.971,21
1.981,989
1.991,66
2.001,934
2.012,117
2.022,856
2.032,175
2.042,748
2.053,286
2.062,651
2.073,396
2.083,518
2.094,536
2.104,409
2.114,669
2.125,311
2.135,807
2.145,210
2.155,955
2.165,119
2.176,1018
2.186,12
2.196,1017
2.207,4
2.216,1017
2.226,4
2.237,1017
2.248,4
2.258,1017
2.269,4
2.277,1017
2.289,4
2.299,1017
2.31,4
2.319,1017
2.33,4
2.34,1017
2.35,11
2.36,1011
2.371,39
2.381,969
2.392,79
2.401,905
2.412,144
2.422,810
2.432,212
2.442,689
2.453,317
2.462,587
2.473,425
2.484,490
2.493,570
2.505,363
2.514,712
2.525,265
2.535,852
2.545,170
2.556,998
2.566,76
2.576,1017
2.586,4
2.596,1017
2.607,4
2.617,1017
2.627,4
2.637,1017
2.648,4
2.659,1017
2.668,4
2.678,1017
2.689,4
2.699,1017
2.709,4
2.719,1017
2.73,5
2.74,1017
2.75,16
2.76,1007
2.771,51
2.781,958
2.791,82
2.801,898
2.812,142
2.822,800
2.832,228
2.843,701
2.853,331
2.863,578
2.873,461
2.884,481
2.894,588
2.904,365
2.915,730
2.925,261
2.935,876
2.945,141
2.956,1009
2.966,48
2.975,1017
2.987,4
2.996,1017
